platform,komentar,timestamp
tiktok,Wapres yg tertukar,2025-05-02 17:04:08
tiktok,"Bang sih wapres bikin video lagi tuh, counter lagi bang bikin lebih bagus dan selipin solusinya kaya biasa",2025-05-02 17:04:08
tiktok,Wapres gibran terlalu banyak omon2 dan janji kayak mobil esemka nggak pernah ada,2025-05-02 17:04:08
tiktok,Lagi sedih ditinggal mantan? Cuan di 🅥🅘🅒🅣🅞🅡🅨007 bisa obatin semua ,2025-05-02 17:04:08
tiktok,Aan Android > Fufufafa,2025-05-02 17:04:08
tiktok,Biasalah belum move on dukungan nya kalah di pilpres ya gini ,2025-05-02 17:04:08
tiktok,Thumbnail lu di maling gibran bang,2025-05-02 17:04:08
tiktok,"Subtitlenya agak sesat. But overall good content
Policy jadi polusi
I C O R ada yang salah
RnD jadi randi
X per M jadi experiment",2025-05-02 17:04:08
tiktok,Gibran kata gue lu mending tutup akun...,2025-05-02 17:04:08
tiktok,"wapres isinya kosong dan jobdesk yg gak bermutu ( bagi2 susu dan lainnya) dan buat podcast bicarakan demografi yg secara itu tugas dia di pemerintah sehrusnya bisa langsung diterapkan..
 pak wowo hanya omon omon dan outcomenya sudah kebayang bakal kemana menuju indonesia (C)emas, hanya berdoa supaya dampak gak lebih parah ..",2025-05-02 17:04:08
tiktok,Bg fery ini aku liat sangat mirip dg aktor serial money heist yaitu sang profesor,2025-05-02 17:04:08
tiktok,Keliatan beda kwalitas yg benar2 punya ijazah asli dan ijazah palsu ,2025-05-02 17:04:08
tiktok,Huh niru wapres Gibran,2025-05-02 17:04:08
tiktok,dikasih paham cara dapat like tanpa duit pajak,2025-05-02 17:04:08
tiktok,"Nyimak paparan bonus demografi yg sebelah kok isinya kosong...kyk ada yg kurang, terlalu hambar ibarat masakan.",2025-05-02 17:04:08

instagram,Sekarang coba yang ini ,2025-05-02 16:57:03
instagram,"Style bisa dicopy, isi kepala sendiri sendiri ",2025-05-02 16:57:03
